Country,Date,Event
Turkey,2016.07,"On 15 July, Turkey and the Turkish nation went through a dramatic chain of events that caught the millions in Turkey and beyond unaware. Rogue army officers who belonged to the Glenist Terrorist Organization/Parallel State Structure (FETO/PSS) staged a bloody coup, which cost the lives of 240 people and injured more than 2000."
North Korea,2017.04,"In April 2017, North Korea continued its pattern of provocative actions and rhetoric, drawing international attention and escalating tensions on the Korean Peninsula. North Korea conducted multiple missile tests in April 2017, demonstrating its increasing missile capabilities and defiance of international sanctions. The most notable tests included a failed launch of a ballistic missile on April 16, and another missile test on April 29, which was also unsuccessful."
North Korea,2017.09,"In September 2017, North Korea's continued nuclear and missile tests significantly heightened tensions on the Korean Peninsula and drew strong international condemnation. On September 3, 2017, North Korea conducted its sixth nuclear test, which was by far its most powerful to date. The test caused a significant underground explosion, with estimates indicating that it had a yield of about 250 kilotons of TNT, making it several times more powerful than previous tests.The test led to a detectable seismic event and was widely viewed as a significant escalation in North Korea's nuclear capabilities, with some experts suggesting it could have been a hydrogen bomb (thermonuclear device)."
Spain,2018.05,"In May 2018, Spain experienced significant political upheaval and a major leadership change. The G�rtel corruption scandal, one of the largest corruption cases in Spanish history, came to a head with a court verdict that convicted numerous members of the People's Party (Partido Popular, or PP), which was the ruling party at the time. The G�rtel case involved bribery, embezzlement, and other forms of corruption."
Russia,2018.06,"In June 2018, Russia hosted the FIFA World Cup. The FIFA World Cup took place in Russia from June 14 to July 15, 2018. This was the first time Russia had hosted the World Cup, and the event was held across 12 venues in 11 different cities, including Moscow, St. Petersburg, Sochi, and Kazan."
Sweden,2018.06,"In June 2018, Sweden experienced a combination of significant events, with the FIFA World Cup and ongoing political developments drawing national and international attention. Sweden's national football team participated in the tournament, marking their return to the World Cup since 2006.
Sweden's performance was a highlight for the country, as the team advanced from the group stage and reached the quarterfinals, defeating teams like South Korea, Mexico, and Switzerland. This achievement was celebrated across Sweden, generating national pride and excitement. "
Croatia,2018.07,"In July 2018, Croatia made international headlines due to the remarkable performance of its national football team at the FIFA World Cup in Russia. Croatia's national football team reached the final of the FIFA World Cup for the first time in the country's history. This achievement was a significant source of national pride and excitement."
Italy,2020.03,"In March 2020, Italy experienced a significant and challenging period due to the outbreak of the COVID-19 pandemic. Italy became one of the first and hardest-hit countries in Europe by the COVID-19 pandemic. By March 2020, the number of COVID-19 cases and deaths was rising rapidly, particularly in the northern regions such as Lombardy, Veneto, and Emilia-Romagna."
Lebanon,2020.08,"In August 2020, Lebanon experienced a devastating event that had a profound impact on the country: the Beirut port explosion. On August 4, 2020, a massive explosion occurred at the Port of Beirut, causing widespread destruction and loss of life. The blast was one of the largest non-nuclear explosions in history, resulting from the detonation of approximately 2,750 tons of ammonium nitrate, which had been stored improperly in a warehouse at the port."
Russia,2022.02,"In February 2022, Russia's actions toward Ukraine marked a significant escalation in geopolitical tensions, leading to international condemnation and triggering a large-scale conflict. Russia launched a full-scale invasion of Ukraine, signaling a major escalation in the ongoing conflict that began with Russia's annexation of Crimea in 2014. "
Ukraine,2022.02,"
In February 2022, Ukraine experienced a dramatic escalation in conflict and international crisis due to Russia's full-scale invasion. Russia launched a large-scale invasion of Ukraine, targeting major cities, key infrastructure, and military installations."
Qatar,2022.11,"In 2022, Qatar gained significant international attention primarily due to hosting the FIFA World Cup, the first World Cup held in a Middle Eastern country. The World Cup featured 32 national teams competing across eight stadiums in five cities, including Doha, Al Rayyan, Al Khor, Al Wakrah, and Lusail."
Saudi Arabia,2022.11,"In November 2022, Saudi Arabia gained significant international attention primarily because of its participation in the FIFA World Cup held in Qatar. Saudi Arabia's national football team made headlines when they defeated Argentina 2-1 in their opening match on November 22. This upset was one of the biggest shocks in World Cup history, given Argentina's status as a tournament favorite and the presence of star player Lionel Messi."
Argentina,2022.12,"In December 2022, Argentina experienced significant national and international attention due to the country's remarkable success in the FIFA World Cup and the ensuing celebrations. Argentina's national football team, led by star player Lionel Messi, progressed through the tournament with remarkable performances. On December 18, Argentina defeated France in the World Cup final after a dramatic match that ended 3-3 in regular and extra time. Argentina then won 4-2 on penalties, securing their third World Cup title and their first since 1986."
Morocco,2022.12,"In December 2022, Morocco achieved historic success at the FIFA World Cup in Qatar, becoming the first African and Arab nation to reach the semifinals in the tournament's history. This remarkable accomplishment had a significant impact on Morocco and resonated globally. Morocco advanced to the semifinals, defeating strong teams such as Belgium, Spain, and Portugal along the way. "
Turkey,2023.02,"In February 2023, Turkey experienced a devastating series of earthquakes that caused widespread destruction, loss of life, and a humanitarian crisis. A massive earthquake with a magnitude of 7.8 struck southeastern Turkey near the city of Gaziantep, close to the border with Syria. This was followed by several aftershocks and a second major earthquake with a magnitude of 7.5 later that day. The earthquakes resulted in a significant loss of life. Tens of thousands of people were killed, and many more were injured or displaced."
